area_name.x,area_code,diabetes_qof_prevalence_17_yrs_17_yrs_persons,percentage_of_people_with_type_2_diabetes_aged_under_40_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_40_to_64_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_65_to_79_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_80_and_over_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_male_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_female_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_white_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_minority_ethnic_origin_all_ages_persons,people_with_type_2_diabetes_who_received_a_blood_glucose_test_all_ages_persons,people_with_type_2_diabetes_who_received_all_8_care_processes_all_ages_persons,people_with_type_2_diabetes_who_achieved_all_three_treatment_targets_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_48_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_58_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_86_mmol_mol_or_less_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_were_offered_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_attended_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,area_name.y,value
Hertfordshire and West Essex ICB - 06N ,nE38000079,6.07163195652091,3.94165653759333,43.3755860392429,37.1939572842507,15.5061642646293,56.3813162007293,43.6186837992707,65.0112866817156,24.1882271227644,86.5428025698906,37.4544191699948,37.5120540019286,33.0387628037759,65.5754167503515,93.0307290620607,70.80745342,6.211180124,Hertfordshire and West Essex ICB - 06N ,11.411
Greater Manchester ICB - 01D ,nE38000080,8.62390247831807,4.9468791500664,48.539176626826,35.0597609561753,11.4541832669323,54.9136786188579,45.1195219123506,66.9986719787517,31.3745019920319,84.4953519256308,35.7901726427623,37.5284997720018,31.2450748620961,61.3475177304965,90.8589440504334,67.5,5.833333333,Greater Manchester ICB - 01D ,33.684
Humber and North Yorkshire ICB - 03F ,nE38000085,7.68448804515814,4.85888856560954,45.5338958393948,36.9217340704102,12.6854815245854,55.2807681117253,44.7192318882747,84.928716904277,5.70264765784114,82.251963922025,27.0002909514111,31.9110304130731,32.0240622788394,61.8542108987969,90.3043170559094,55.70175439,3.50877193,Humber and North Yorkshire ICB - 03F ,41.235
Suffolk and North East Essex ICB - 06L ,nE38000086,6.56136875493768,3.33168805528134,37.314906219151,40.8440276406713,18.5093780848963,57.0829220138203,42.9170779861797,90.6959526159921,6.61401776900296,91.3129318854887,50.2467917077986,36.8522690698423,30.6543578604399,62.883518870486,92.9948411620961,56.93430657,2.919708029,Suffolk and North East Essex ICB - 06L ,17.395
Cornwall and The Isles Of Scilly ICB - 11N ,nE38000089,7.00211648825756,2.57448186528497,34.9417098445596,44.7215025906736,17.7784974093264,56.7033678756477,43.2966321243523,65.1716321243523,2.34779792746114,87.6943005181347,33.8082901554404,28.6997529755221,27.8747628083491,59.0702087286528,90.7779886148008,59.36599424,1.152737752,Cornwall and The Isles Of Scilly ICB - 11N ,23.784
Cheshire and Merseyside ICB - 01J ,nE38000091,8.08112347689037,3.81909547738693,47.1859296482412,35.7286432160804,13.2663316582915,55.1758793969849,44.8241206030151,93.1155778894472,2.66331658291457,83.6180904522613,28.0402010050251,40.3057119871279,34.4786015672092,63.7130801687764,91.4406268836649,63.36633663,1.98019802,Cheshire and Merseyside ICB - 01J ,41.387
"Leicester, Leicestershire and Rutland ICB - 04C ",nE38000097,9.62478628112633,5.63131718273705,53.1686186427082,31.6701427883844,9.52992138617038,53.2327931974972,46.7672068025028,29.5684261190438,68.3940317664046,86.7158671586716,30.017648002567,37.5403833728193,30.7978426631951,63.7902175934536,92.2447461409708,62.6911315,3.058103976,"Leicester, Leicestershire and Rutland ICB - 04C ",33.065
Cheshire and Merseyside ICB - 99A ,nE38000101,6.56585046938108,4.33599419448476,45.8817126269956,36.611030478955,13.1712626995646,55.6785195936139,44.3214804063861,81.2046444121916,12.155297532656,81.422351233672,31.8759071117562,36.4456079115765,32.4776785714286,63.3035714285714,90.9821428571429,65.18518519,0.740740741,Cheshire and Merseyside ICB - 99A ,41.126
Mid and South Essex ICB - 06Q ,nE38000106,6.97855629937694,3.125,39.0746124031008,41.5697674418605,16.2306201550388,57.1220930232558,42.8779069767442,84.3992248062015,7.00096899224806,87.3546511627907,4.72383720930233,35.0777934936351,31.2777777777778,64.5833333333333,92.8333333333333,71.9858156,14.89361702,Mid and South Essex ICB - 06Q ,13.889
Suffolk and North East Essex ICB - 06T ,nE38000117,7.14232529174451,3.0614870079753,36.5577566246463,43.2467198353486,17.1597633136095,56.8304605093903,43.1695394906097,90.9184461023926,5.99434010805248,92.4877797787497,72.9354257782351,39.585211902615,29.9329234209055,62.5768585802124,92.6215762996087,54.74137931,15.0862069,Suffolk and North East Essex ICB - 06T ,22.003
